"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Project Search","Search by name with trailing space","0","0","1","0","0"
"","Project ID Validation","Special Characters in Project ID","19","0","0","0","0"
"","Project Search","User should be able to find a project by multiple words in its name","0","0","1","0","0"
"","Project Search","XSS payload should not be executed","0","0","1","0","0"
"","Access Control","Project Creation Permissions","0","0","8","0","0"
"","Project Search","User should not be able to find a project by a non-existing name","0","0","1","0","0"
"","Project ID Validation","Non-Latin Characters in Project ID","7","0","0","0","0"
"","Project Search","Search with pagination using negative count and start parameters","2","0","0","0","0"
"","Project ID Validation","Valid Project ID","0","0","1","0","0"
"","","","2","0","1","0","0"
"","Project Search","Search by digits-only name","0","0","1","0","0"
"","Project Name Validation","Space in Project Name","1","0","0","0","0"
"","Project ID Validation","Invalid Starting Character in Project ID","2","0","0","0","0"
"","Project Search","SQL Injection should not be executed","0","0","1","0","0"
"","Project Search","Search should be case-sensitive","0","0","1","0","0"
"","Project Search","Search by name with only space character","0","0","1","0","0"
"","Projects","Create project with required fields only","0","0","1","0","0"
"","Project ID Validation","Duplicate Project ID with Different Case","0","0","1","0","0"
"","Project Management","Creating sibling projects","0","0","1","0","0"
"","Project Name Validation","Localized Project Name","0","0","1","0","0"
"","Project Name Validation","Maximum Length Project Name","0","0","1","0","0"
"","Parent Project Validation","Non-Existent Parent Project","0","0","1","0","0"
"","Project Search","Search with pagination using count and start parameters","0","1","1","0","0"
"","Project Search","User should be able to find a project by its exact name","0","0","1","0","0"
"","Parent Project Validation","Parent ID Conflict","0","0","1","0","0"
"","Project Search","Search by maximum allowed name length","0","0","1","0","0"
"","Authorization","User without authentication should not create a project","0","0","1","0","0"
"","Project Name Validation","Digits Only Name","0","0","1","0","0"
"","Project ID Validation","Min Length ID","0","0","1","0","0"
"","Project Search","Search by partially matching words","0","0","1","0","0"
"","Project Name Validation","Spaces In Name","0","0","1","0","0"
"","Project ID Validation","Empty Project ID","1","0","0","0","0"
"","Project ID Validation","Max Length ID","0","0","1","0","0"
"","Security","XSS Injection Prevention","0","0","1","0","0"
"","Project ID Validation","Underscore in ID","0","0","1","0","0"
"","Project Name Validation","Duplicate Name","0","0","1","0","0"
"","Project Search","Search by localized name","0","0","1","0","0"
"","Project Search","Search by single character name","0","0","1","0","0"
"","Project ID Validation","Duplicate Project ID","0","0","1","0","0"
"","Project ID Validation","ID with Space","1","0","0","0","0"
"","Project ID Validation","Empty ID","1","0","0","0","0"
"","Project Name Validation","Special Characters in Project Name","0","0","1","0","0"
"","Project Search","Search by Name with Special Characters","0","0","1","0","0"
"","Project Name Validation","Duplicate Name with Different Case","0","0","1","0","0"
"","Project ID Validation","Project ID Length Exceeded","1","0","0","0","0"
"","Project Copy Settings","Copy Project Parameters","1","0","0","0","0"
"","Project Name Validation","One Character Project Name","0","0","1","0","0"
"","Project ID Validation","Invalid Project ID","1","0","0","0","0"
"","Project Copy Settings","Copy Settings Disabled","0","0","1","0","0"
"","Project ID Validation","Spaces in Project ID","1","0","0","0","0"
"","Parent Project Validation","Parent ID Empty","0","0","1","0","0"
"","Project Search","Search by empty name","0","0","1","0","0"
"","Security","SQL Injection Prevention","0","0","1","0","0"
"","Project Search","Search by name for deeply nested project","0","0","1","0","0"
"","Project Search","Search by name with leading space","0","0","1","0","0"
"","Project Name Validation","Empty Project Name","0","0","1","0","0"
